last_name, first_name,name,year,p_formatted_ip,p_earned_run,p_era
Rosscup, Zac, Zac Rosscup,2018,11.1,6,
Smith, Murphy, Murphy Smith,2018,3.1,3,
Straily, Dan, Dan Straily,2018,122.1,56,
Stroman, Marcus, Marcus Stroman,2018,102.1,63,
Minaya, Juan, Juan Minaya,2018,46.2,17,
Goody, Nick, Nick Goody,2018,11.2,9,
Scott, Robby, Robby Scott,2018,6.2,6,
Velazquez, Hector, Hector Velazquez,2018,85,30,
Ramos, Edubray, Edubray Ramos,2018,42.2,11,
Adam, Jason, Jason Adam,2018,32.1,22,
Allen, Cody, Cody Allen,2018,67,35,
Barbato, Johnny, Johnny Barbato,2018,6.2,9,
Barnes, Danny, Danny Barnes,2018,41,26,
Bedrosian, Cam, Cam Bedrosian,2018,64,27,
Biddle, Jesse, Jesse Biddle,2018,63.2,22,
Brice, Austin, Austin Brice,2018,37.1,24,
Bridwell, Parker, Parker Bridwell,2018,6.2,13,
Claudio, Alex, Alex Claudio,2018,68.1,34,
Covey, Dylan, Dylan Covey,2018,121.2,70,
Cumpton, Brandon, Brandon Cumpton,2018,1.2,1,
Foltynewicz, Mike, Mike Foltynewicz,2018,183,58,
Gausman, Kevin, Kevin Gausman,2018,183.2,80,
Goeddel, Erik, Erik Goeddel,2018,36.2,12,
Gray, Jon, Jon Gray,2018,172.1,98,
Hembree, Heath, Heath Hembree,2018,60,28,
Holaday, Bryan, Bryan Holaday,2018,2,3,
Jackson, Luke, Luke Jackson,2018,40.2,20,
Kahnle, Tommy, Tommy Kahnle,2018,23.1,17,
Kingham, Nick, Nick Kingham,2018,76,44,
Kolarek, Adam, Adam Kolarek,2018,34.1,15,
Lewicki, Artie, Artie Lewicki,2018,38.2,21,
McGuire, Deck, Deck McGuire,2018,38,26,
Morris, Akeel, Akeel Morris,2018,14,9,
Osich, Josh, Josh Osich,2018,12,11,
Plutko, Adam, Adam Plutko,2018,76.2,45,
Ray, Robbie, Robbie Ray,2018,123.2,54,
Reed, Addison, Addison Reed,2018,56,28,
Rumbelow, Nick, Nick Rumbelow,2018,17.2,12,
Sadzeck, Connor, Connor Sadzeck,2018,9.1,1,
Sampson, Adrian, Adrian Sampson,2018,23,11,
Sanchez, Aaron, Aaron Sanchez,2018,105,57,
Shreve, Chasen, Chasen Shreve,2018,52.2,23,
Smith, Caleb, Caleb Smith,2018,77.1,36,
Snelten, D.J., D.J. Snelten,2018,4.1,5,
Stanek, Ryne, Ryne Stanek,2018,66.1,22,
Stewart, Brock, Brock Stewart,2018,17.2,12,
Syndergaard, Noah, Noah Syndergaard,2018,154.1,52,
Taillon, Jameson, Jameson Taillon,2018,191,68,
Thornburg, Tyler, Tyler Thornburg,2018,24,15,
Triggs, Andrew, Andrew Triggs,2018,41.1,24,
Tuivailala, Sam, Sam Tuivailala,2018,37,14,
Velasquez, Vince, Vince Velasquez,2018,146.2,79,
Wahl, Bobby, Bobby Wahl,2018,5.1,6,
Walker, Taijuan, Taijuan Walker,2018,13,5,
Wick, Rowan, Rowan Wick,2018,8.1,6,
Williams, Taylor, Taylor Williams,2018,53,25,
Williams, Trevor, Trevor Williams,2018,170.2,59,
Feliz, Michael, Michael Feliz,2018,47.2,30,
Rodriguez, Richard, Richard Rodriguez,2018,69.1,19,
German, Domingo, Domingo German,2018,85.2,53,
Martinez, Carlos, Carlos Martinez,2018,118.2,41,
Montas, Frankie, Frankie Montas,2018,65,28,
Neris, Hector, Hector Neris,2018,47.2,27,
Suero, Wander, Wander Suero,2018,47.2,19,
Rodriguez, Eduardo, Eduardo Rodriguez,2018,129.2,55,
Peralta, Wandy, Wandy Peralta,2018,45.1,27,
