last_name, first_name,year,on_base_plus_slg,
Davies, Zach,2018,.119,
Davis, J.D.,2018,.471,
Fisher, Derek,2018,.602,
Garcia, Aramis,2018,.800,
Marjama, Mike,2018,.395,
Martini, Nick,2018,.811,
Musgrove, Joe,2018,.336,
Nola, Aaron,2018,.122,
Panik, Joe,2018,.639,
Perez, Michael,2018,.692,
Rodriguez, Dereck,2018,.202,
Skole, Matt,2018,.930,
Smith, Mallex,2018,.768,
Spangenberg, Cory,2018,.657,
Suarez, Andrew,2018,.162,
Tilson, Charlie,2018,.615,
Tomlinson, Kelby,2018,.527,
Tucker, Preston,2018,.703,
Walding, Mitch,2018,.393,
Woodruff, Brandon,2018,.925,
Zimmer, Bradley,2018,.611,
Castro, Harold,2018,.600,
Arcia, Orlando,2018,.575,
Tapia, Raimel,2018,.739,
Hernandez, Teoscar,2018,.771,
Peraza, Jose,2018,.738,
Garcia, Jarlin,2018,.091,
Marte, Ketel,2018,.768,
Greiner, Grayson,2018,.609,
Haase, Eric,2018,.301,
Nimmo, Brandon,2018,.886,
Peterson, Jace,2018,.633,
Fedde, Erick,2018,.180,
Turner, Trea,2018,.759,
Romano, Sal,2018,.133,
Gant, John,2018,.317,
Lopez, Raffy,2018,.549,
Smith, Kevan,2018,.728,
Rua, Ryan,2018,.577,
Andreoli, John,2018,.546,
Blandino, Alex,2018,.609,
Bostick, Christopher,2018,.528,
Freeland, Kyle,2018,.236,
Lugo, Seth,2018,.245,
Pillar, Kevin,2018,.708,
Stallings, Jacob,2018,.485,
Travis, Sam,2018,.652,
Williamson, Mac,2018,.678,
Ramirez, Jose,2018,.939,
Bregman, Alex,2018,.926,
Gallo, Joey,2018,.810,
Kelly, Carson,2018,.305,
Russell, Addison,2018,.657,
Seager, Corey,2018,.744,
Wacha, Michael,2018,.174,
Williams, Nick,2018,.749,
Winker, Jesse,2018,.835,
Lugo, Dawel,2018,.576,
Marquez, German,2018,.627,
Mazara, Nomar,2018,.753,
Murphy, Tom,2018,.637,
Guzman, Ronald,2018,.722,
Field, Johnny,2018,.656,
Jankowski, Travis,2018,.677,
Plawecki, Kevin,2018,.684,
Refsnyder, Rob,2018,.584,
Reynolds, Matt,2018,.368,
Stratton, Chris,2018,.283,
Suter, Brent,2018,.659,
Mondesi, Adalberto,2018,.801,
Andujar, Miguel,2018,.855,
Chen, Wei-Yin,2018,.318,
Cordero, Franchy,2018,.744,
Reyes, Franmil,2018,.838,
Barreto, Franklin,2018,.746,
Urena, Richard,2018,.697,
Robertson, Daniel,2018,.797,
Swanson, Dansby,2018,.696,
Newman, Kevin,2018,.478,
Taylor, Chris,2018,.775,
Correa, Carlos,2018,.728,
Valentin, Jesmuel,2018,.562,
Eflin, Zach,2018,.239,
Buehler, Walker,2018,.354,
Oswalt, Corey,2018,.000,
Dahl, David,2018,.859,
Blach, Ty,2018,.123,
Phillips, Brett,2018,.558,
Buxton, Byron,2018,.381,
Brinson, Lewis,2018,.577,
Duggar, Steven,2018,.693,
Stewart, DJ,2018,.890,
Powell, Boog,2018,.492,
Ward, Taylor,2018,.578,
Nido, Tomas,2018,.438,
Stewart, Christin,2018,.792,
Hudson, Joe,2018,.417,
Wisdom, Patrick,2018,.882,
Moroff, Max,2018,.640,
Wendle, Joey,2018,.788,
Olson, Matt,2018,.788,
Dean, Austin,2018,.642,
Shaw, Chris,2018,.552,
Wood, Alex,2018,.085,
Duffy, Matt,2018,.727,
Munoz, Yairo,2018,.763,
Maxwell, Bruce,2018,.516,
Cozens, Dylan,2018,.562,
Rodriguez, Jefry,2018,.417,
Castillo, Luis,2018,.242,
Gomez, Miguel,2018,.533,
Margot, Manuel,2018,.675,
Reyes, Pablo,2018,.832,
Senzatela, Antonio,2018,.194,
Camargo, Johan,2018,.806,
Reyes, Victor,2018,.525,
Hernandez, Elieser,2018,.000,
Kivlehan, Patrick,2018,.824,
Velazquez, Andrew,2018,.817,
Avelino, Abiatal,2018,.545,
Bote, David,2018,.727,
Santander, Anthony,2018,.547,
Lin, Tzu-Wei,2018,.744,
Arroyo, Christian,2018,.735,
Ciuffo, Nick,2018,.547,
Conforto, Michael,2018,.797,
Frazier, Adam,2018,.797,
McGuire, Reese,2018,.914,
Puig, Yasiel,2018,.820,
Soler, Jorge,2018,.820,
Tocci, Carlos,2018,.543,
Maeda, Kenta,2018,.169,
Fernandez, Jose Miguel,2018,.697,
Heredia, Guillermo,2018,.654,
Ervin, Phillip,2018,.728,
Frazier, Clint,2018,.743,
Meadows, Austin,2018,.785,
Pinder, Chad,2018,.767,
Lopez, Pablo,2018,.410,
Anderson, Tim,2018,.686,
Asuaje, Carlos,2018,.565,
Bauers, Jake,2018,.698,
Bellinger, Cody,2018,.814,
Calhoun, Willie,2018,.602,
Cordell, Ryan,2018,.341,
Crawford, J.P.,2018,.705,
Davis, Jonathan,2018,.499,
Dixon, Brandon,2018,.574,
Dozier, Hunter,2018,.673,
Engel, Adam,2018,.610,
Fowler, Dustin,2018,.610,
Garver, Mitch,2018,.748,
Guillorme, Luis,2018,.523,
Hampson, Garrett,2018,.796,
Hermosillo, Michael,2018,.608,
Kuhl, Chad,2018,.254,
Lauer, Eric,2018,.181,
Locastro, Tim,2018,.630,
Mahle, Tyler,2018,.285,
Mancini, Trey,2018,.715,
McKinney, Billy,2018,.780,
McMahon, Ryan,2018,.683,
Nottingham, Jacob,2018,.583,
O'Neill, Tyler,2018,.803,
Reed, Cody,2018,.083,
Sisco, Chance,2018,.557,
Smith, Dominic,2018,.675,
Tellez, Rowdy,2018,.943,
Valaika, Pat,2018,.456,
Wade, Tyler,2018,.487,
Mejia, Francisco,2018,.633,
Sierra, Magneuris,2018,.429,
Peralta, Freddy,2018,.075,
Rosario, Amed,2018,.675,
Adames, Willy,2018,.753,
Guerra, Javy,2018,.388,
Wynns, Austin,2018,.661,
Benintendi, Andrew,2018,.829,
Brault, Steven,2018,.390,
Cooper, Garrett,2018,.558,
Godley, Zack,2018,.164,
Jansen, Danny,2018,.779,
Kemp, Tony,2018,.738,
Kiner-Falefa, Isiah,2018,.677,
McNeil, Jeff,2018,.846,
Tauchman, Mike,2018,.314,
White, Tyler,2018,.888,
Orf, Nate,2018,.478,
Alcantara, Sandy,2018,.077,
Albies, Ozzie,2018,.756,
Robles, Victor,2018,.874,
Devers, Rafael,2018,.731,
Diaz, Aledmys,2018,.756,
Urias, Luis,2018,.618,
Torres, Gleyber,2018,.819,
Diaz, Yandy,2018,.797,
Viloria, Meibrys,2018,.609,
Allen, Greg,2018,.649,
Chapman, Matt,2018,.864,
Flaherty, Jack,2018,.325,
Hoskins, Rhys,2018,.849,
Luplow, Jordan,2018,.631,
Mullins, Cedric,2018,.668,
Newcomb, Sean,2018,.123,
Nix, Jacob,2018,.000,
O'Hearn, Ryan,2018,.950,
Schwarber, Kyle,2018,.822,
Toussaint, Touki,2018,.200,
Verdugo, Alex,2018,.702,
DeJong, Paul,2018,.746,
Laureano, Ramon,2018,.832,
Lee, Braxton,2018,.399,
Moncada, Yoan,2018,.714,
Ohtani, Shohei,2018,.924,
Acuna Jr., Ronald,2018,.917,
Tucker, Kyle,2018,.439,
Happ, Ian,2018,.761,
Lowe, Brandon,2018,.774,
Bader, Harrison,2018,.755,
Stevenson, Andrew,2018,.622,
Fletcher, David,2018,.675,
Kingery, Scott,2018,.605,
Trahan, Blake,2018,.429,
Lucchesi, Joey,2018,.213,
Straw, Myles,2018,1.067,
Soto, Juan,2018,.922,
Garcia, Adolis,2018,.294,
Gurriel Jr., Lourdes,2018,.754,
Richards, Trevor,2018,.148,
